tahun,bulan,jumlah
2015,1,1.0
2015,2,3.0
2015,3,9.0
2015,4,5.0
2015,5,8.0
2015,6,9.0
2015,7,5.0
2015,8,9.0
2015,9,7.0
2015,10,7.0
2015,11,9.0
2015,12,4.0
2016,1,5.0
2016,2,8.0
2016,3,6.0
2016,4,14.0
2016,5,33.0
2016,6,17.0
2016,7,12.0
2016,8,42.0
2016,9,46.0
2016,10,60.0
2016,11,51.0
2016,12,31.0
2017,1,10.0
2017,2,11.0
2017,3,2.0
2017,4,2.0
2017,5,8.0
2017,6,5.0
2017,7,11.0
2017,8,30.0
2017,9,26.0
2017,10,11.0
2017,11,30.0
2017,12,24.0
2018,1,12.0
2018,2,8.0
2018,3,13.0
2018,4,15.0
2018,5,11.0
2018,6,11.0
2018,7,24.0
2018,8,14.0
2018,9,16.0
2018,10,10.0
2018,11,8.0
2018,12,9.0
2019,1,9.0
2019,2,5.0
2019,3,22.0
2019,4,17.0
2019,5,10.0
2019,6,19.0
2019,7,29.0
2019,8,37.0
2019,9,48.0
2019,10,79.0
2019,11,47.0
2019,12,39.0
